Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
Machine Learning Test Lead,Accenture Solutions Pvt Ltd,8-10 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Testing
Machine Learning
Azure
Computer vision
Team management
PDF",4.0,(18767 Reviews),Not disclosed,PREFERRED,27 DAYS AGO
Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,5-8 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
Data Science",,,Not disclosed,HOT JOB,11 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"PyTorch
Machine Learning
R
SQL DB
C
Kaldi
verbal
CoreNLP",4.0,(18767 Reviews),Not disclosed,PREFERRED,15 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Testing
Machine Learning
Cloud
Business process
ASR
Coding",4.0,(18767 Reviews),Not disclosed,PREFERRED,27 DAYS AGO
"Staff Data Scientist - Machine Learning, BigData",Juniper Networks India Pvt Ltd,7-12 Yrs,Bangalore/Bengaluru,"Product management
Computer science
remediation
Data analysis
Networking
data science
Coding
Machine learning",4.2,(113 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,3-5 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
C#",,,Not disclosed,PREMIUM,11 DAYS AGO
Data Science Developer - Machine Learning,Silverlink Technilogies,5-10 Yrs,"Hyderabad/Secunderabad, Pune","IT Skills
Python
Data Science
Machine Learning
Data Management
ITSM
Time series
Algorithm",,,Not disclosed,PREMIUM,11 DAYS AGO
Software Developer - NLP /machine Learning/ Data Science,Cunesoft,3-5 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
C#",,,Not disclosed,PREMIUM,11 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"communication
Java
Machine Learning
analytical
data modelling
Python
IT Skills
Computer science",4.0,(18767 Reviews),Not disclosed,PREFERRED,21 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Pune,"IT Skills
Machine Learning
Big Data
Business process
Automation
github
Data modeling
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Hyderabad/Secunderabad,"IT Skills
Python
Machine Learning
Business process
Data analysis
Analytical
Consulting
Perl",4.0,(18767 Reviews),Not disclosed,PREFERRED,26 DAYS AGO
Team Lead Machine Learning,OpsRamp,10-12 Yrs,Hyderabad/Secunderabad,"IT Skills
Java
J2EE
Python
Machine Learning
Product Management
Big Data
Computer science",4.5,(9 Reviews),Not disclosed,,27 DAYS AGO
"Excellent Opportunity For Data Scientist, Hyderabad",Genpact,4-8 Yrs,"Hyderabad/Secunderabad, Uppal","IT Skills
Python
Data Science
Machine Learning
Big Data
Power BI
Big Data Analytics
Artificial Intelligence",4.0,(10921 Reviews),Not disclosed,HOT JOB,28 DAYS AGO
Artificial Intelligence Engineer - Machine Learning/python/r,Career Infosystem,1-3 Yrs,Trivandrum/Thiruvananthapuram,"Python
statistical modeling
CNN
network architecture
deep learning
LSTM
machine learning
MATLAB",,,Not disclosed,HOT JOB,22 DAYS AGO
"Data Scientist - Machine Learning, BigData",Juniper Networks India Pvt Ltd,5-10 Yrs,Bangalore/Bengaluru,"Computer science
C++
Networking
Coding
Project management
Machine learning
Data structures
Analytics",4.2,(113 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Mumbai,"Business process
Architecture
Analytical
Consulting
Machine learning
SCALA
Agile
Oracle",4.0,(18767 Reviews),Not disclosed,PREFERRED,11 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"IT Skills
Java
Python
Data Science
Machine Learning
Oracle
Business process
Architecture",4.0,(18767 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bangalore/Bengaluru,"Business process
Architecture
Analytical
Consulting
Machine learning
SCALA
Agile
Oracle",4.0,(18767 Reviews),Not disclosed,PREFERRED,11 DAYS AGO
Data Scientist - Time Series / NLP/ Artificial Intelligence,Societe Generale,3-8 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Data Science
Machine Learning
NLP
Artificial Intelligence
Natural Language Processing
Time Series",3.8,(735 Reviews),Not disclosed,PREMIUM,6 DAYS AGO
Data Scientist - Machine Learning/Statistical Modeling,Yogy HR Solutions,5-9 Yrs,Mumbai,"analytics
machine learning
statistical modelling
IT Skills
Data Science
Regression Algorithms
Data Scientist
Statistical Modeling",,,Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning Engineer,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,3-8 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills
Project Management
BPO
project management
Artificial Intelligence
Machine Learning",,,Not disclosed,,30+ DAYS AGO
Hiring For Machine learning engineer For Hyderabad location,Adecco India Private Limited,2-4 Yrs,Hyderabad/Secunderabad,Machine Learning,,,"8,00,000 - 17,00,000 PA.",PREMIUM,30+ DAYS AGO
Looking For ML Engineer (Machine learning Engineer ) For Hyderabad,Adecco India Private Limited,2-4 Yrs,Hyderabad/Secunderabad,"Java
C++
NLP
C
Algorithm Design
Neural Networks
Programming
Machine Learning",,,"8,00,000 - 15,00,000 PA.",PREMIUM,30+ DAYS AGO
